,Vibrations,Snoring
951,44,Yes
952,43,Yes
953,42,Yes
954,42,Yes
955,41,Yes
956,41,Yes
957,41,Yes
958,41,Yes
959,42,Yes
960,42,Yes
961,43,Yes
962,44,Yes
963,46,Yes
964,47,Yes
965,49,Yes
966,51,Yes
967,53,Yes
968,55,Yes
969,57,Yes
970,58,Yes
971,59,Yes
972,60,Yes
973,60,Yes
974,59,Yes
975,58,Yes
976,57,Yes
977,55,Yes
978,53,Yes
979,51,Yes
980,49,Yes
981,47,Yes
982,44,Yes
983,39,Yes
984,41,Yes
985,40,Yes
986,39,Yes
987,39,Yes
988,38,Yes
989,39,Yes
990,39,Yes
991,40,Yes
992,42,Yes
993,43,Yes
994,43,Yes
995,45,Yes
996,46,Yes
997,47,Yes
998,48,Yes
999,49,Yes
1000,49,Yes
1001,50,Yes
1002,50,Yes
1003,51,Yes
1004,51,Yes
1005,52,Yes
1006,53,Yes
1007,55,Yes
1008,56,Yes
1009,57,Yes
1010,58,Yes
1011,60,Yes
1012,60,Yes
1013,62,Yes
1014,63,Yes
1015,63,Yes
1016,64,Yes
1017,64,Yes
1018,65,Yes
1019,65,Yes
1020,64,Yes
1021,64,Yes
1022,63,Yes
1023,62,Yes
1024,60,Yes
1025,59,Yes
1026,58,Yes
1027,56,Yes
1028,55,Yes
1029,53,Yes
1030,51,Yes
1031,50,Yes
1032,48,Yes
1033,47,Yes
1034,46,Yes
1035,45,Yes
1036,45,Yes
1037,45,Yes
1038,45,Yes
1039,46,Yes
1040,47,Yes
1041,48,Yes
1042,49,Yes
1043,51,Yes
1044,52,Yes
1045,53,Yes
1046,54,Yes
1047,55,Yes
1048,56,Yes
1049,57,Yes
1050,57,Yes
1051,57,Yes
1052,57,Yes
1053,57,Yes
1054,56,Yes
1055,56,Yes
1056,55,Yes
1057,54,Yes
1058,53,Yes
1059,52,Yes
1060,51,Yes
1061,51,Yes
1062,50,Yes
1063,50,Yes
1064,49,Yes
1065,49,Yes
1066,49,Yes
1067,49,Yes
1068,49,Yes
1069,49,Yes
1070,49,Yes
1071,50,Yes
1072,50,Yes
1073,51,Yes
1074,51,Yes
1075,52,Yes
1076,52,Yes
1077,53,Yes
1078,53,Yes
1079,54,Yes
1080,54,Yes
1081,54,Yes
1082,54,Yes
1083,55,Yes
1084,55,Yes
1085,55,Yes
1086,55,Yes
1087,55,Yes
1088,55,Yes
1089,55,Yes
1090,55,Yes
1091,55,Yes
1092,55,Yes
1093,55,Yes
1094,56,Yes
1095,56,Yes
1096,56,Yes
1097,56,Yes
1098,56,Yes
1099,56,Yes
1100,56,Yes
1101,56,Yes
1102,56,Yes
1103,55,Yes
1104,55,Yes
1105,55,Yes
1106,54,Yes
1107,54,Yes
1108,54,Yes
1109,53,Yes
1110,53,Yes
1111,52,Yes
1112,52,Yes
1113,51,Yes
1114,51,Yes
1115,50,Yes
1116,50,Yes
1117,50,Yes
1118,49,Yes
1119,48,Yes
1120,48,Yes
1121,47,Yes
1122,47,Yes
1123,46,Yes
1124,45,Yes
1125,45,Yes
1126,45,Yes
1127,45,Yes
1128,46,Yes
1129,47,Yes
1130,48,Yes
1131,49,Yes
1132,51,Yes
1133,52,Yes
1134,53,Yes
1135,53,Yes
1136,54,Yes
1137,54,Yes
1138,55,Yes
1139,56,Yes
1140,57,Yes
1141,58,Yes
1142,59,Yes
1143,59,Yes
1144,58,Yes
1145,57,Yes
1146,57,Yes
1147,56,Yes
1148,56,Yes
1149,57,Yes
1150,58,Yes
1151,59,Yes
1152,60,Yes
1153,60,Yes
1154,61,Yes
1155,60,Yes
1156,60,Yes
1157,59,Yes
1158,57,Yes
1159,55,Yes
1160,53,Yes
1161,50,Yes
1162,48,Yes
1163,45,Yes
1164,43,Yes
1165,41,Yes
1166,39,Yes
1167,37,Yes
1168,35,Yes
1169,34,Yes
1170,34,Yes
1171,33,Yes
1172,34,Yes
1173,35,Yes
1174,36,Yes
1175,38,Yes
1176,41,Yes
1177,44,Yes
1178,48,Yes
1179,51,Yes
1180,55,Yes
1181,58,Yes
1182,61,Yes
1183,64,Yes
1184,66,Yes
1185,67,Yes
1186,68,Yes
1187,68,Yes
1188,67,Yes
1189,66,Yes
1190,64,Yes
1191,61,Yes
1192,58,Yes
1193,55,Yes
1194,51,Yes
1195,48,Yes
1196,45,Yes
1197,43,Yes
1198,40,Yes
1199,39,Yes
1200,38,Yes
1201,36,Yes
1202,36,Yes
1203,37,Yes
1204,37,Yes
1205,38,Yes
1206,39,Yes
1207,41,Yes
1208,43,Yes
1209,45,Yes
1210,47,Yes
1211,48,Yes
1212,50,Yes
1213,51,Yes
1214,52,Yes
1215,53,Yes
1216,54,Yes
1217,55,Yes
1218,56,Yes
1219,57,Yes
1220,58,Yes
1221,60,Yes
1222,61,Yes
1223,62,Yes
1224,62,Yes
1225,63,Yes
1226,63,Yes
1227,64,Yes
1228,64,Yes
